n,h,w,c,k,r,s,p,q,pad_h,pad_w,stride_h,stride_w,Operation,Runtime
256,56,56,64,256,1,1,56,56,0,0,1,1,cutlass_tensorop_h1688fprop_optimized_64x64_32x2_nhwc_align8,1.27324
256,56,56,64,64,1,1,56,56,0,0,1,1,cutlass_tensorop_h16816fprop_optimized_128x64_32x6_nhwc_align8,0.503762
256,56,56,64,64,3,3,56,56,1,1,1,1,cutlass_tensorop_h1688fprop_optimized_128x64_32x2_nhwc_align8,0.994296
256,56,56,256,64,1,1,56,56,0,0,1,1,cutlass_tensorop_h1688fprop_optimized_64x64_32x2_nhwc_align8,1.23865
256,56,56,256,512,1,1,28,28,0,0,2,2,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,0.828407
256,56,56,256,128,1,1,28,28,0,0,2,2,cutlass_tensorop_h16816fprop_optimized_64x128_32x6_nhwc_align8,0.38307
256,28,28,128,128,3,3,28,28,1,1,1,1,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,0.753655
256,28,28,128,512,1,1,28,28,0,0,1,1,cutlass_tensorop_h1688fprop_optimized_128x128_32x2_nhwc_align8,0.646561
256,28,28,512,128,1,1,28,28,0,0,1,1,cutlass_tensorop_h16816fprop_optimized_64x128_32x6_nhwc_align8,0.626975
256,28,28,512,1024,1,1,14,14,0,0,2,2,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,0.766843
256,28,28,512,256,1,1,14,14,0,0,2,2,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,0.202144
256,14,14,256,256,3,3,14,14,1,1,1,1,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,0.743775
256,14,14,256,1024,1,1,14,14,0,0,1,1,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,0.410949
256,14,14,1024,256,1,1,14,14,0,0,1,1,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,0.359183
256,14,14,1024,2048,1,1,7,7,0,0,2,2,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,0.694497
256,14,14,1024,512,1,1,7,7,0,0,2,2,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,0.174509
256,7,7,512,512,3,3,7,7,1,1,1,1,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,0.736473
256,7,7,512,2048,1,1,7,7,0,0,1,1,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,0.382707
256,7,7,2048,512,1,1,7,7,0,0,1,1,cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8,0.333313
